week_start,forecast,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,type
2026-02-02,89.7,76.6,107.8,61.8,122.3,forecast
2026-02-09,65.1,43.3,89.7,32.9,108.4,forecast
2026-02-16,74.7,46.5,108.1,29.3,132.5,forecast
2026-02-23,66.8,36.7,111.0,22.9,134.4,forecast
2026-03-02,69.1,33.5,115.2,12.8,149.7,forecast
2026-03-09,75.7,38.1,124.8,13.0,158.6,forecast
2026-03-16,77.8,36.9,129.5,14.6,160.3,forecast
2026-03-23,70.6,26.6,129.8,2.4,156.8,forecast
2026-03-30,58.0,12.2,114.4,0.0,150.7,forecast
2026-04-06,71.6,23.2,143.9,0.0,181.3,forecast
2026-04-13,65.3,10.9,135.0,0.0,174.6,forecast
2026-04-20,62.6,14.6,137.9,0.0,182.4,forecast
2026-04-27,60.8,0.0,135.2,0.0,170.3,forecast
